,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
2002,2019.11.23,,14.04.25,1,5G,-100,-13,8.0,11,-110,15,26,D
2029,2019.11.23,,14.04.55,1,5G,-101,-12,11.0,13,-84,2816,48,D
2030,2019.11.23,,14.04.56,1,5G,-101,-9,8.0,13,-84,10985,187,D
2057,2019.11.23,,14.05.25,1,5G,-102,-14,1.0,11,-85,15,26,D
2072,2019.11.23,,14.05.41,1,5G,-102,-11,1.0,14,-85,15300,130,D
2079,2019.11.23,,14.05.49,1,5G,-103,-12,2.0,14,-110,32,8,D
2080,2019.11.23,,14.05.50,1,5G,-101,-11,2.0,14,-110,19,2,D
2113,2019.11.23,,14.06.25,1,5G,-100,-16,-3.0,12,-84,15,26,D
2114,2019.11.23,,14.06.26,1,5G,-101,-15,-4.0,11,-87,5462,50,D
2156,2019.11.23,,14.07.12,1,5G,-100,-9,12.0,14,-86,14830,138,D
2180,2019.11.23,,14.07.38,1,5G,-100,-14,9.0,15,-91,11,1,D
2198,2019.11.23,,14.07.57,1,5G,-100,-11,5.0,12,-83,1031,24,D
2224,2019.11.23,,14.08.25,1,5G,-102,-14,6.0,14,-85,15,26,D
2280,2019.11.23,,14.09.26,1,5G,-101,-11,7.0,12,-83,15,26,D
2335,2019.11.23,,14.10.25,1,5G,-100,-15,2.0,11,-82,15,26,D
2351,2019.11.23,,14.10.43,1,5G,-101,-15,-1.0,10,-85,42,51,D
2352,2019.11.23,,14.10.44,1,5G,-100,-14,4.0,10,-85,10556,207,D
2377,2019.11.23,,14.11.11,1,5G,-100,-14,4.0,11,-110,91,56,D
2378,2019.11.23,,14.11.12,1,5G,-101,-14,-3.0,12,-110,41,9,D
2391,2019.11.23,,14.11.26,1,5G,-102,-13,9.0,10,-110,15,26,D
2408,2019.11.23,,14.11.44,1,5G,-101,-12,6.0,11,-82,17,29,D
2409,2019.11.23,,14.11.45,1,5G,-101,-12,6.0,11,-82,126,464,D
2410,2019.11.23,,14.11.46,1,5G,-100,-12,5.0,11,-86,44102,1155,D
2411,2019.11.23,,14.11.47,1,5G,-100,-12,5.0,10,-83,26256,676,D
2414,2019.11.23,,14.11.51,1,5G,-102,-14,3.0,14,-87,92,123,D
2416,2019.11.23,,14.11.53,1,5G,-102,-12,6.0,12,-110,478,16,D
2417,2019.11.23,,14.11.54,1,5G,-102,-12,6.0,12,-110,102,4,D
