,Unnamed: 0,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
138,138,2020.01.06,Day1,10:00:02,0,5G,-104,-13.0,-5.0,14,-110,4282,24,D,
139,139,2020.01.06,Day1,10:00:04,0,5G,-104,-13.0,-5.0,14,-110,280,7,D,
140,140,2020.01.06,Day1,10:00:07,0,5G,-104,-13.0,-5.0,14,-110,11444,47,D,
141,141,2020.01.06,Day1,10:00:08,0,5G,-104,-13.0,-5.0,14,-110,280,8,D,
142,142,2020.01.06,Day1,10:00:10,0,5G,-104,-13.0,-5.0,14,-110,11202,40,D,
143,143,2020.01.06,Day1,10:00:12,0,5G,-104,-13.0,-5.0,14,-110,283,9,D,
144,144,2020.01.06,Day1,10:00:14,0,5G,-104,-13.0,-5.0,14,-110,8603,40,D,
145,145,2020.01.06,Day1,10:00:16,0,5G,-104,-13.0,-5.0,14,-110,277,8,D,
146,146,2020.01.06,Day1,10:00:18,0,5G,-104,-13.0,-5.0,14,-110,278,8,D,
147,147,2020.01.06,Day1,10:00:20,0,5G,-104,-13.0,-5.0,14,-110,6924,25,D,
148,148,2020.01.06,Day1,10:00:22,0,5G,-104,-13.0,-5.0,14,-110,279,8,D,
149,149,2020.01.06,Day1,10:00:24,0,5G,-104,-13.0,-5.0,14,-110,1397,22,D,
150,150,2020.01.06,Day1,10:00:25,0,5G,-104,-13.0,-5.0,14,-110,8095,21,D,
151,151,2020.01.06,Day1,10:00:26,0,5G,-104,-13.0,-5.0,14,-110,278,8,D,
152,152,2020.01.06,Day1,10:00:28,0,5G,-104,-13.0,-5.0,14,-110,3010,31,D,
153,153,2020.01.06,Day1,10:00:30,0,5G,-104,-13.0,-5.0,14,-110,3445,23,D,
154,154,2020.01.06,Day1,10:00:31,0,5G,-104,-13.0,-5.0,14,-110,323,25,D,
155,155,2020.01.06,Day1,10:00:34,0,5G,-104,-13.0,-5.0,14,-110,5161,34,D,
156,156,2020.01.06,Day1,10:00:37,0,5G,-104,-13.0,-5.0,14,-110,4151,21,D,
157,157,2020.01.06,Day1,10:00:39,0,5G,-104,-13.0,-5.0,14,-110,275,7,D,
158,158,2020.01.06,Day1,10:00:40,0,5G,-104,-13.0,-5.0,14,-110,1941,16,D,
159,159,2020.01.06,Day1,10:00:42,0,5G,-104,-13.0,-5.0,14,-110,277,12,D,
160,160,2020.01.06,Day1,10:00:44,0,5G,-104,-13.0,-5.0,14,-110,5357,316,D,
161,161,2020.01.06,Day1,10:00:45,0,5G,-104,-13.0,-5.0,14,-110,21,221,D,
162,162,2020.01.06,Day1,10:00:46,0,5G,-104,-13.0,-5.0,14,-110,277,8,D,
163,163,2020.01.06,Day1,10:00:48,0,5G,-104,-13.0,-5.0,14,-110,5048,30,D,
164,164,2020.01.06,Day1,10:00:50,0,5G,-104,-13.0,-5.0,14,-110,280,8,D,
165,165,2020.01.06,Day1,10:00:52,0,5G,-104,-13.0,-5.0,14,-110,1031,14,D,
