,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
209,2019.11.28,,,07.31.40,,42,5G,-93,-8,13.0,15,-77,3163,58,D
211,2019.11.28,,,07.31.42,,42,5G,-95,-8,16.0,15,-74,280,10,D
212,2019.11.28,,,07.31.43,,42,5G,-95,-8,16.0,15,-76,735,24,D
215,2019.11.28,,,07.31.45,,26,5G,-91,-7,13.0,15,-76,1421,29,D
217,2019.11.28,,,07.31.48,,26,5G,-91,-8,17.0,15,-74,274,8,D
218,2019.11.28,,,07.31.49,,26,5G,-87,-8,17.0,15,-72,889,16,D
219,2019.11.28,,,07.31.50,,26,5G,-87,-8,17.0,15,-,280,9,D
221,2019.11.28,,,07.31.52,,26,5G,-89,-8,11.0,15,-,837,19,D
223,2019.11.28,,,07.31.54,,26,5G,-91,-12,7.0,15,-,277,9,D
224,2019.11.28,,,07.31.56,,26,5G,-91,-9,8.0,15,-74,1252,23,D
225,2019.11.28,,,07.31.57,,26,5G,-91,-9,8.0,15,-74,276,8,D
226,2019.11.28,,,07.31.58,,26,5G,-89,-7,22.0,12,-69,1335,23,D
228,2019.11.28,,,07.32.00,,26,5G,-89,-7,12.0,12,-69,1277,22,D
229,2019.11.28,,,07.32.01,,26,5G,-89,-7,12.0,12,-69,284,13,D
231,2019.11.28,,,07.32.04,,26,5G,-89,-8,17.0,12,-69,3684,46,D
233,2019.11.28,,,07.32.06,,26,5G,-89,-7,16.0,12,-69,283,10,D
235,2019.11.28,,,07.32.08,,26,5G,-89,-7,19.0,15,-73,1570,21,D
236,2019.11.28,,,07.32.09,,26,5G,-89,-9,16.0,12,-70,279,8,D
237,2019.11.28,,,07.32.10,,26,5G,-89,-9,16.0,15,-68,96,8,D
238,2019.11.28,,,07.32.11,,26,5G,-79,-8,13.0,15,-68,277,9,D
240,2019.11.28,,,07.32.14,,26,5G,-86,-11,14.0,15,-70,2034,33,D
242,2019.11.28,,,07.32.16,,26,5G,-85,-9,9.0,13,-68,279,9,D
