,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
850,08.17.36,0,5G,-89,-12,4.0,7,-69,11,1,D
863,08.17.51,0,5G,-90,-11,1.0,8,-68,2,4,D
865,08.17.53,0,5G,-90,-11,1.0,8,-68,15,27,D
866,08.17.54,0,5G,-90,-11,1.0,8,-68,2,4,D
882,08.18.11,0,5G,-90,-10,7.0,7,-69,14,6,D
884,08.18.13,0,5G,-90,-15,4.0,7,-69,2,4,D
886,08.18.15,0,5G,-90,-12,4.0,7,-69,2,4,D
888,08.18.17,0,5G,-90,-12,1.0,7,-69,20969,96,D
902,08.18.33,0,5G,-90,-17,-5.0,11,-68,2,4,D
903,08.18.34,0,5G,-90,-15,4.0,11,-68,2,4,D
905,08.18.36,0,5G,-89,-16,-6.0,11,-68,2,4,D
920,08.18.52,0,5G,-90,-16,0.0,10,-68,15,27,D
921,08.18.53,0,5G,-90,-17,-9.0,10,-68,2,4,D
923,08.18.55,0,5G,-90,-14,1.0,7,-70,2,4,D
925,08.18.57,0,5G,-89,-17,-7.0,9,-68,2,4,D
930,08.19.03,0,5G,-88,-17,-6.0,9,-68,19995,111,D
941,08.19.14,0,5G,-91,-16,2.0,10,-74,2,4,D
943,08.19.17,0,5G,-89,-17,-4.0,7,-70,2,4,D
944,08.19.18,0,5G,-89,-17,-4.0,7,-70,2,4,D
960,08.19.35,0,5G,-90,-17,-6.0,9,-69,2,4,D
962,08.19.37,0,5G,-88,-18,-7.0,6,-72,2,4,D
964,08.19.39,0,5G,-88,-18,-8.0,6,-69,2,4,D
972,08.19.48,0,5G,-88,-16,-9.0,6,-69,15480,87,D
976,08.19.52,0,5G,-91,-17,-1.0,9,-69,16,27,D
977,08.19.53,0,5G,-90,-12,-7.0,9,-69,41,100,D
978,08.19.54,0,5G,-90,-12,-7.0,9,-69,29,1927,D
979,08.19.55,0,5G,-90,-13,-6.0,9,-69,24,1668,D
980,08.19.56,0,5G,-90,-13,-6.0,9,-69,17,823,D
982,08.19.59,0,5G,-89,-17,-5.0,9,-69,2,4,D
984,08.20.01,0,5G,-89,-17,-8.0,9,-69,2,4,D
999,08.20.17,0,5G,-89,-15,1.0,8,-67,2,4,D
1001,08.20.19,0,5G,-90,-13,-3.0,8,-67,2,4,D
1003,08.20.21,0,5G,-90,-12,2.0,6,-69,2,4,D
1014,08.20.33,0,5G,-91,-15,-8.0,10,-73,2398,37,D
1015,08.20.34,0,5G,-90,-12,1.0,9,-69,6814,24,D
1019,08.20.38,0,5G,-90,-13,-1.0,6,-69,2,4,D
1021,08.20.40,0,5G,-90,-10,4.0,6,-69,2,4,D
1023,08.20.43,0,5G,-90,-11,2.0,6,-69,2,4,D
1026,08.20.46,0,5G,-90,-12,0.0,6,-69,78,68,D
1032,08.20.52,0,5G,-89,-16,-5.0,6,-69,15,27,D
1038,08.20.59,0,5G,-91,-14,-1.0,6,-69,2,4,D
1040,08.21.01,0,5G,-90,-13,0.0,6,-69,2,4,D
1042,08.21.03,0,5G,-90,-12,-9.0,6,-69,2,4,D
1056,08.21.18,0,5G,-90,-13,-7.0,9,-70,10,13,D
1057,08.21.19,0,5G,-90,-13,1.0,9,-70,12736,36,D
1058,08.21.20,0,5G,-90,-13,1.0,9,-70,2,4,D
1060,08.21.23,0,5G,-90,-13,-6.0,9,-70,2,4,D
1062,08.21.25,0,5G,-89,-15,-6.0,6,-68,2,4,D
1065,08.21.28,0,5G,-90,-16,1.0,6,-68,15,26,D
1077,08.21.41,0,5G,-90,-15,0.0,6,-72,2,4,D
1079,08.21.43,0,5G,-90,-13,-5.0,7,-69,2,4,D
1081,08.21.45,0,5G,-90,-13,1.0,7,-69,2,4,D
1088,08.21.53,0,5G,-91,-15,0.0,7,-69,15,27,D
1097,08.22.02,0,5G,-90,-16,-2.0,7,-69,2,4,D
1098,08.22.03,0,5G,-90,-16,-2.0,7,-69,3967,39,D
1099,08.22.05,0,5G,-90,-15,0.0,7,-69,177,13,D
1101,08.22.07,0,5G,-91,-16,0.0,7,-69,2,4,D
1116,08.22.23,0,5G,-90,-15,-1.0,7,-69,2,4,D
1118,08.22.25,0,5G,-90,-13,-2.0,7,-69,2,4,D
1120,08.22.27,0,5G,-90,-13,0.0,7,-69,2,4,D
1136,08.22.44,0,5G,-91,-13,-3.0,10,-69,2,5,D
1138,08.22.46,0,5G,-90,-13,-1.0,7,-69,2,4,D
1140,08.22.49,0,5G,-90,-13,1.0,8,-72,2,4,D
1144,08.22.53,0,5G,-90,-13,1.0,8,-69,15,1,D
1145,08.22.54,0,5G,-90,-13,3.0,8,-69,33,18,D
1154,08.23.04,0,5G,-91,-13,-6.0,8,-69,2,1,D
1157,08.23.07,0,5G,-90,-15,1.0,8,-69,2,4,D
1159,08.23.09,0,5G,-90,-15,0.0,8,-69,2,4,D
1163,08.23.13,0,5G,-91,-13,-1.0,8,-69,1,2,D
1168,08.23.19,0,5G,-90,-14,3.0,9,-67,11,1,D
1175,08.23.26,0,5G,-90,-17,-2.0,7,-70,2,5,D
1177,08.23.28,0,5G,-90,-14,0.0,7,-73,2,4,D
1179,08.23.31,0,5G,-91,-15,3.0,8,-69,2,5,D
1190,08.23.42,0,5G,-91,-14,-3.0,7,-69,69,13,D
1195,08.23.48,0,5G,-89,-17,-6.0,6,-69,2,4,D
1196,08.23.49,0,5G,-89,-17,-6.0,6,-69,2,4,D
1198,08.23.51,0,5G,-90,-14,-2.0,6,-69,2,4,D
1199,08.23.52,0,5G,-91,-12,0.0,6,-69,15,27,D
1214,08.24.08,0,5G,-90,-13,2.0,10,-69,2,4,D
1216,08.24.10,0,5G,-89,-13,-7.0,10,-69,2,4,D
1218,08.24.12,0,5G,-90,-13,-3.0,10,-69,2,4,D
1234,08.24.30,0,5G,-91,-14,-8.0,8,-68,2,5,D
1236,08.24.32,0,5G,-91,-12,1.0,8,-68,2,4,D
1237,08.24.33,0,5G,-91,-17,-2.0,8,-68,2,4,D
1253,08.24.50,0,5G,-91,-16,-2.0,8,-72,2,4,D
1255,08.24.52,0,5G,-91,-14,3.0,8,-72,18,32,D
1257,08.24.54,0,5G,-90,-13,2.0,8,-68,2,4,D
1269,08.25.07,0,5G,-90,-15,-6.0,8,-67,1,20,D
1270,08.25.08,0,5G,-90,-15,-6.0,8,-67,13729,288,D
1271,08.25.09,0,5G,-90,-14,-8.0,8,-70,388,2,D
1273,08.25.12,0,5G,-91,-14,3.0,8,-70,2,4,D
1275,08.25.14,0,5G,-91,-12,3.0,8,-70,2,4,D
1276,08.25.15,0,5G,-91,-12,3.0,8,-70,2,4,D
1292,08.25.32,0,5G,-89,-17,-7.0,7,-68,2,4,D
1294,08.25.34,0,5G,-89,-19,-7.0,7,-68,2,4,D
1296,08.25.36,0,5G,-89,-18,-9.0,8,-69,2,4,D
1311,08.25.53,0,5G,-90,-15,-1.0,7,-68,17,28,D
1312,08.25.54,0,5G,-90,-15,-1.0,7,-68,2,4,D
1314,08.25.56,0,5G,-90,-15,-7.0,9,-70,2,4,D
1315,08.25.57,0,5G,-91,-14,-4.0,6,-68,2,4,D
1326,08.26.09,0,5G,-90,-13,-9.0,8,-70,2,1,D
1327,08.26.10,0,5G,-91,-15,-1.0,6,-72,1,0,D
1329,08.26.12,0,5G,-90,-19,-8.0,6,-68,93,442,D
1330,08.26.13,0,5G,-90,-19,-8.0,8,-71,60711,1391,D
1331,08.26.14,0,5G,-91,-15,0.0,8,-71,108417,1224,D
1332,08.26.15,0,5G,-91,-15,0.0,8,-71,8795,254,D
1333,08.26.16,0,5G,-90,-18,-7.0,8,-69,11,111,D
1335,08.26.18,0,5G,-90,-16,-7.0,8,-69,13625,68,D
1351,08.26.36,0,5G,-90,-14,-1.0,8,-69,2,4,D
1353,08.26.38,0,5G,-90,-13,2.0,8,-69,14,6,D
1355,08.26.40,0,5G,-90,-14,3.0,8,-69,2,4,D
1370,08.26.56,0,5G,-91,-16,-5.0,7,-69,2,4,D
1371,08.26.57,0,5G,-89,-17,-9.0,7,-69,6,4,D
1372,08.26.58,0,5G,-89,-17,-9.0,9,-73,2,4,D
1373,08.26.59,0,5G,-90,-14,1.0,9,-73,14875,117,D
1374,08.27.00,0,5G,-90,-14,1.0,6,-68,2,4,D
1386,08.27.13,0,5G,-89,-12,6.0,8,-69,17,27,D
1387,08.27.14,0,5G,-89,-12,3.0,8,-69,3,0,D
1388,08.27.15,0,5G,-89,-12,3.0,8,-69,1,3,D
1390,08.27.18,0,5G,-90,-12,0.0,8,-69,3,4,D
1392,08.27.20,0,5G,-89,-15,-7.0,10,-71,2,4,D
1394,08.27.22,0,5G,-90,-13,2.0,7,-69,2,4,D
1399,08.27.27,0,5G,-90,-12,1.0,7,-69,16,44,D
1409,08.27.38,0,5G,-90,-13,-3.0,7,-69,2,4,D
1411,08.27.40,0,5G,-90,-12,-3.0,8,-71,2,4,D
1413,08.27.42,0,5G,-91,-12,-6.0,11,-69,2,4,D
1415,08.27.45,0,5G,-90,-15,0.0,7,-69,6968,36,D
1416,08.27.46,0,5G,-90,-15,0.0,7,-69,3582,33,D
1417,08.27.47,0,5G,-89,-19,-9.0,7,-69,15632,132,D
1429,08.28.00,0,5G,-91,-12,-3.0,6,-67,2,4,D
1431,08.28.02,0,5G,-89,-16,-2.0,7,-69,2,4,D
1433,08.28.04,0,5G,-91,-13,-2.0,7,-69,2,4,D
1442,08.28.14,0,5G,-89,-14,-1.0,7,-69,23,1,D
1443,08.28.15,0,5G,-91,-12,3.0,7,-69,7,26,D
1444,08.28.16,0,5G,-91,-12,3.0,7,-69,21703,763,D
1448,08.28.20,0,5G,-90,-11,0.0,10,-69,2,4,D
1449,08.28.21,0,5G,-91,-14,1.0,9,-67,21495,662,D
1450,08.28.22,0,5G,-91,-14,1.0,8,-70,2,4,D
1452,08.28.24,0,5G,-91,-13,-7.0,9,-68,2,4,D
1459,08.28.32,0,5G,-91,-12,-1.0,9,-68,31422,262,D
1468,08.28.42,0,5G,-91,-12,0.0,9,-68,2,4,D
1470,08.28.44,0,5G,-90,-12,-2.0,9,-68,2,4,D
1472,08.28.46,0,5G,-90,-11,1.0,9,-68,2,4,D
1486,08.29.01,0,5G,-90,-14,-6.0,15,-68,1,0,D
1487,08.29.02,0,5G,-90,-14,-1.0,15,-68,2,4,D
1489,08.29.04,0,5G,-89,-14,5.0,8,-66,2,4,D
1491,08.29.06,0,5G,-90,-14,2.0,6,-68,2,4,D
1497,08.29.13,0,5G,-90,-14,0.0,6,-68,15,30,D
1501,08.29.17,0,5G,-90,-13,2.0,10,-68,3085,34,D
1502,08.29.18,0,5G,-90,-13,2.0,10,-68,15264,105,D
1505,08.29.21,0,5G,-89,-16,-5.0,8,-71,6,4,D
1506,08.29.22,0,5G,-89,-16,-5.0,7,-69,2,2,D
1507,08.29.23,0,5G,-89,-17,-7.0,7,-69,2,4,D
1509,08.29.26,0,5G,-90,-12,-1.0,10,-72,2,4,D
1511,08.29.28,0,5G,-90,-12,4.0,10,-69,2,4,D
1528,08.29.46,0,5G,-90,-13,-1.0,6,-68,2,4,D
1530,08.29.48,0,5G,-91,-14,2.0,6,-68,2,4,D
1544,08.30.03,0,5G,-89,-17,-8.0,8,-69,20335,126,D
1546,08.30.06,0,5G,-89,-17,-1.0,9,-72,2,4,D
1548,08.30.08,0,5G,-91,-14,-5.0,10,-68,2,4,D
1550,08.30.10,0,5G,-91,-14,2.0,10,-68,2,4,D
1553,08.30.13,0,5G,-91,-12,0.0,12,-68,16,26,D
1567,08.30.28,0,5G,-90,-11,1.0,12,-68,2,4,D
1569,08.30.30,0,5G,-91,-14,1.0,12,-68,2,4,D
1585,08.30.48,0,5G,-90,-12,-7.0,10,-71,2,4,D
1586,08.30.49,0,5G,-90,-12,-7.0,7,-69,20353,128,D
1587,08.30.50,0,5G,-91,-14,0.0,7,-69,2,4,D
1589,08.30.52,0,5G,-90,-12,1.0,8,-71,2,4,D
1605,08.31.09,0,5G,-91,-12,-2.0,8,-71,2,4,D
1606,08.31.10,0,5G,-91,-12,-2.0,9,-68,2,4,D
1608,08.31.12,0,5G,-90,-14,0.0,9,-68,2,4,D
1609,08.31.13,0,5G,-90,-14,-1.0,9,-68,15,26,D
1624,08.31.30,0,5G,-90,-11,-1.0,9,-69,2,4,D
1626,08.31.32,0,5G,-90,-12,3.0,8,-72,2,4,D
1628,08.31.34,0,5G,-91,-13,0.0,7,-72,13797,98,D
1638,08.31.45,0,5G,-91,-14,-7.0,8,-71,11,1,D
1644,08.31.51,0,5G,-90,-16,-3.0,6,-71,2,4,D
1645,08.31.52,0,5G,-89,-17,-1.0,10,-69,2,4,D
1647,08.31.54,0,5G,-89,-18,-8.0,10,-69,2,4,D
1660,08.32.08,0,5G,-90,-16,-5.0,7,-68,32,16,D
