,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
662,2019.11.26,,,08.14.29,,1,5G,-94,-13,1.0,4,-71,102,37,D
663,2019.11.26,,,08.14.30,,1,5G,-92,-16,-1.0,4,-71,78,37,D
664,2019.11.26,,,08.14.31,,1,5G,-92,-16,-1.0,4,-71,58,21,D
667,2019.11.26,,,08.14.34,,1,5G,-91,-18,-2.0,4,-71,14,26,D
675,2019.11.26,,,08.14.43,,1,5G,-93,-13,-1.0,4,-71,494,11,D
683,2019.11.26,,,08.14.51,,1,5G,-92,-14,2.0,5,-71,18,31,D
689,2019.11.26,,,08.14.58,,1,5G,-92,-13,2.0,8,-71,12,2,D
694,2019.11.26,,,08.15.03,,1,5G,-91,-19,-10.0,8,-71,22577,98,D
731,2019.11.26,,,08.15.43,,1,5G,-95,-14,-1.0,9,-72,18,33,D
736,2019.11.26,,,08.15.49,,1,5G,-90,-17,-8.0,5,-72,9185,65,D
739,2019.11.26,,,08.15.52,,1,5G,-91,-17,-8.0,5,-72,14,27,D
772,2019.11.26,,,08.16.27,,1,5G,-91,-16,-9.0,14,-73,495,13,D
773,2019.11.26,,,08.16.28,,1,5G,-92,-14,-1.0,14,-73,32,16,D
778,2019.11.26,,,08.16.34,,1,5G,-92,-13,0.0,14,-73,23271,119,D
820,2019.11.26,,,08.17.19,,1,5G,-91,-12,3.0,5,-75,5546,106,D
821,2019.11.26,,,08.17.20,,1,5G,-91,-15,-8.0,9,-70,1806,2,D
822,2019.11.26,,,08.17.21,,1,5G,-91,-15,-8.0,12,-75,8314,155,D
823,2019.11.26,,,08.17.22,,1,5G,-92,-20,-10.0,12,-75,2478,44,D
824,2019.11.26,,,08.17.23,,1,5G,-92,-20,-10.0,12,-75,4853,77,D
850,2019.11.26,,,08.17.51,,1,5G,-92,-12,-1.0,6,-73,15,27,D
864,2019.11.26,,,08.18.06,,1,5G,-93,-17,1.0,15,-73,18539,135,D
906,2019.11.26,,,08.18.52,,1,5G,-91,-13,1.0,8,-73,11,77,D
907,2019.11.26,,,08.18.53,,1,5G,-92,-14,1.0,8,-73,232,18,D
908,2019.11.26,,,08.18.54,,1,5G,-92,-14,1.0,8,-73,2135,108,D
909,2019.11.26,,,08.18.55,,1,5G,-93,-20,-6.0,8,-73,1553,21,D
910,2019.11.26,,,08.18.56,,1,5G,-93,-20,-6.0,8,-73,3959,40,D
911,2019.11.26,,,08.18.57,,1,5G,-91,-20,0.0,8,-73,2634,47,D
912,2019.11.26,,,08.18.58,,1,5G,-91,-20,0.0,8,-73,2326,37,D
954,2019.11.26,,,08.19.43,,1,5G,-92,-17,-10.0,7,-72,6008,90,D
962,2019.11.26,,,08.19.52,,1,5G,-92,-13,-1.0,7,-72,15,27,D
983,2019.11.26,,,08.20.15,,1,5G,-95,-13,-11.0,7,-75,228,66,D
984,2019.11.26,,,08.20.16,,1,5G,-95,-13,-11.0,8,-72,64,21,D
985,2019.11.26,,,08.20.17,,1,5G,-93,-14,1.0,8,-72,168,96,D
996,2019.11.26,,,08.20.29,,1,5G,-93,-14,-9.0,8,-76,790,24,D
997,2019.11.26,,,08.20.30,,1,5G,-92,-14,-1.0,9,-71,8586,84,D
1009,2019.11.26,,,08.20.43,,1,5G,-95,-15,0.0,6,-71,15,26,D
1073,2019.11.26,,,08.21.51,,1,5G,-92,-12,0.0,7,-71,15,27,D
1132,2019.11.26,,,08.22.55,,1,5G,-93,-13,-1.0,6,-73,11,0,D
1149,2019.11.26,,,08.23.13,,1,5G,-92,-14,-1.0,12,-72,11,1,D
1184,2019.11.26,,,08.23.51,,1,5G,-90,-12,0.0,8,-73,2243,151,D
1185,2019.11.26,,,08.23.52,,1,5G,-90,-16,-3.0,13,-71,26879,239,D
1186,2019.11.26,,,08.23.53,,1,5G,-90,-16,-3.0,13,-71,544,7,D
1192,2019.11.26,,,08.24.00,,1,5G,-90,-15,3.0,6,-,16,31,D
1240,2019.11.26,,,08.24.52,,1,5G,-93,-17,-4.0,7,-73,15,27,D
1242,2019.11.26,,,08.24.54,,1,5G,-92,-12,-1.0,12,-72,14542,899,D
1243,2019.11.26,,,08.24.55,,1,5G,-92,-13,-1.0,12,-72,57355,1217,D
1244,2019.11.26,,,08.24.56,,1,5G,-92,-13,-1.0,12,-72,46044,399,D
1245,2019.11.26,,,08.24.57,,1,5G,-94,-14,-1.0,12,-72,12934,208,D
1246,2019.11.26,,,08.24.58,,1,5G,-94,-14,-1.0,12,-72,44,92,D
1247,2019.11.26,,,08.24.59,,1,5G,-93,-14,-3.0,12,-72,13284,120,D
1287,2019.11.26,,,08.25.42,,1,5G,-92,-13,0.0,12,-72,16905,119,D
1293,2019.11.26,,,08.25.49,,1,5G,-91,-12,3.0,12,-72,14,6,D
1298,2019.11.26,,,08.25.54,,1,5G,-92,-15,-10.0,13,-70,16,26,D
1329,2019.11.26,,,08.26.28,,1,5G,-94,-17,-1.0,7,-69,17127,119,D
1343,2019.11.26,,,08.26.43,,1,5G,-93,-19,-12.0,11,-71,15,40,D
1354,2019.11.26,,,08.26.54,,1,5G,-92,-15,-2.0,9,-71,16,27,D
1371,2019.11.26,,,08.27.13,,1,5G,-94,-15,-3.0,10,-71,11721,87,D
1410,2019.11.26,,,08.27.55,,1,5G,-93,-14,-1.0,7,-70,17,31,D
1413,2019.11.26,,,08.27.58,,1,5G,-95,-14,-1.0,6,-72,13906,109,D
1455,2019.11.26,,,08.28.43,,1,5G,-93,-19,-8.0,6,-71,28629,183,D
1465,2019.11.26,,,08.28.54,,1,5G,-94,-14,0.0,12,-69,16,27,D
1475,2019.11.26,,,08.29.05,,1,5G,-91,-14,1.0,7,-70,32,8,D
1476,2019.11.26,,,08.29.06,,1,5G,-91,-14,1.0,7,-70,20,2,D
1497,2019.11.26,,,08.29.28,,1,5G,-92,-14,-3.0,7,-71,14842,85,D
1498,2019.11.26,,,08.29.29,,1,5G,-92,-14,-3.0,7,-71,2254,10,D
1521,2019.11.26,,,08.29.54,,1,5G,-92,-15,-1.0,3,-71,15,26,D
1539,2019.11.26,,,08.30.14,,1,5G,-95,-13,-7.0,7,-72,3259,29,D
1540,2019.11.26,,,08.30.15,,1,5G,-95,-13,-7.0,7,-72,14470,72,D
1577,2019.11.26,,,08.30.55,,1,5G,-90,-13,1.0,15,-69,15,26,D
1580,2019.11.26,,,08.30.58,,1,5G,-92,-14,-9.0,12,-71,11,1,D
1582,2019.11.26,,,08.31.00,,1,5G,-93,-18,-9.0,12,-71,25248,144,D
1624,2019.11.26,,,08.31.45,,1,5G,-94,-16,-5.0,7,-71,11397,79,D
1633,2019.11.26,,,08.31.55,,1,5G,-93,-17,-3.0,7,-71,15,26,D
1666,2019.11.26,,,08.32.30,,1,5G,-91,-14,3.0,6,-71,7026,49,D
1688,2019.11.26,,,08.32.54,,1,5G,-92,-13,0.0,4,-74,15,26,D
1707,2019.11.26,,,08.33.15,,1,5G,-92,-11,0.0,7,-72,4608,38,D
