,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
1520,2019.11.26,,14.18.09,1,5G,-102,-17,0.0,12,-85,15738,261,D,
1521,2019.11.26,,14.18.10,1,5G,-102,-17,0.0,12,-85,2342,37,D,
1522,2019.11.26,,14.18.11,1,5G,-102,-11,3.0,12,-85,15,27,D,
1562,2019.11.26,,14.18.54,1,5G,-105,-11,0.0,13,-89,63,12,D,
1563,2019.11.26,,14.18.55,1,5G,-105,-11,0.0,14,-87,210,3,D,
1565,2019.11.26,,14.18.57,1,5G,-104,-16,2.0,14,-89,858,44,D,
1566,2019.11.26,,14.18.59,1,5G,-105,-16,2.0,14,-89,1903,31,D,
1567,2019.11.26,,14.19.00,1,5G,-105,-16,2.0,14,-86,11900,151,D,
1568,2019.11.26,,14.19.01,1,5G,-105,-10,4.0,14,-86,16707,147,D,
1571,2019.11.26,,14.19.04,1,5G,-105,-12,-3.0,14,-84,15,27,D,
1614,2019.11.26,,14.19.50,1,5G,-104,-11,3.0,10,-84,83,4,D,
1619,2019.11.26,,14.19.56,1,5G,-104,-9,4.0,14,-87,1161,54,D,
1620,2019.11.26,,14.19.57,1,5G,-104,-10,3.0,14,-87,1836,53,D,
1621,2019.11.26,,14.19.58,1,5G,-104,-10,3.0,9,-85,7097,63,D,
1622,2019.11.26,,14.19.59,1,5G,-104,-10,6.0,10,-110,35596,263,D,
1626,2019.11.26,,14.20.03,1,5G,-104,-10,5.0,10,-110,15,27,D,
1633,2019.11.26,,14.20.11,1,5G,-104,-11,3.0,14,-110,14,27,D,
1664,2019.11.26,,14.20.44,1,5G,-104,-13,-1.0,12,-88,21370,163,D,
1665,2019.11.26,,14.20.45,1,5G,-104,-13,-1.0,14,-90,5096,31,D,
1669,2019.11.26,,14.20.50,1,5G,-103,-16,0.0,12,-85,11,1,D,
1682,2019.11.26,,14.21.04,1,5G,-102,-13,-2.0,11,-85,15,27,D,
1706,2019.11.26,,14.21.30,1,5G,-102,-10,3.0,13,-85,18668,131,D,
1707,2019.11.26,,14.21.31,1,5G,-102,-10,3.0,13,-85,10928,46,D,
1748,2019.11.26,,14.22.15,1,LTE,-94,-12,11.0,10,-110,4165,69,D,
1749,2019.11.26,,14.22.16,1,LTE,-94,-12,11.0,10,-80,18138,198,D,
1772,2019.11.26,,14.22.41,1,LTE,-94,-12,9.0,9,-77,11,1,D,
1791,2019.11.26,,14.23.01,1,5G,-111,-19,-15.0,13,-94,934,56,D,
1792,2019.11.26,,14.23.02,1,5G,-104,-16,-6.0,8,-87,1915,41,D,
1796,2019.11.26,,14.23.07,1,5G,-102,-15,0.0,11,-86,13,15,D,
1797,2019.11.26,,14.23.08,1,5G,-102,-15,0.0,11,-86,31,1,D,
